Tract Code,Total Housing Units,1-4 Family Units,Median House Age,Inside City?,Owner Occupied Units,Vacant Units,Owner Occupied 1-4 Fam Units,Renter Occupied,state,county
1385.02,0,0,0,Yes,0,0,0,0,36,081
1399.00,588,578,68,Yes,525,53,520,10,36,081
1403.00,837,837,61,Yes,639,27,639,171,36,081
1409.01,314,303,66,Yes,285,0,285,29,36,081
1409.02,916,910,63,Yes,724,27,724,165,36,081
1417.00,1566,1510,66,Yes,1278,36,1248,252,36,081
1429.00,1284,1271,63,Yes,806,82,806,396,36,081
1435.00,761,761,76,Yes,584,54,584,123,36,081
1441.00,1238,731,64,Yes,917,36,595,285,36,081
1447.00,1044,993,58,Yes,600,100,595,344,36,081
1451.01,522,522,62,Yes,415,0,415,107,36,081
1451.02,851,801,62,Yes,520,80,520,251,36,081
1459.00,1017,1017,74,Yes,656,80,656,281,36,081
1463.00,994,810,64,Yes,513,37,513,444,36,081
1467.00,1374,592,59,Yes,350,46,270,978,36,081
1471.00,1352,980,55,Yes,690,56,422,606,36,081
1479.00,1802,1356,61,Yes,1035,77,892,690,36,081
1483.00,1091,1041,76,Yes,813,121,782,157,36,081
1507.01,1106,1042,68,Yes,969,48,914,89,36,081
1507.02,1280,909,58,Yes,935,57,736,288,36,081
1529.01,2603,2190,52,Yes,1854,47,1565,702,36,081
1529.02,2234,1986,59,Yes,1838,49,1607,347,36,081
1551.01,1818,50,40,Yes,1398,296,50,124,36,081
1551.02,3622,2946,60,Yes,2222,258,2017,1142,36,081
1567.00,253,214,14,Yes,36,7,36,210,36,081
1571.01,2576,2508,64,Yes,2013,96,1960,467,36,081
1571.02,615,607,64,Yes,381,63,377,171,36,081
1579.01,1797,1662,60,Yes,1427,98,1320,272,36,081
1579.02,1089,1080,62,Yes,1003,0,994,86,36,081
1579.03,1396,1356,61,Yes,1004,132,1004,260,36,081
1617.00,1547,1530,76,Yes,1112,65,1103,370,36,081
1621.00,2172,2008,67,Yes,1152,137,1143,883,36,081
9901.00,0,0,0,Yes,0,0,0,0,36,081
6090.00,1027,821,59,No,710,53,710,264,06,081
6091.00,602,588,65,Yes,422,14,418,166,06,081
6092.01,1721,1180,61,No,900,136,758,685,06,081
6092.02,2001,789,52,No,642,0,384,1359,06,081
6093.00,1286,1175,67,No,1009,37,1009,240,06,081
6094.00,1160,1160,68,No,1036,37,1036,87,06,081
6095.00,1835,1742,57,No,1478,58,1478,299,06,081
6096.01,1227,999,45,No,850,36,823,341,06,081
6096.02,659,603,50,No,552,28,514,79,06,081
6096.03,2185,1873,46,Yes,1786,162,1634,237,06,081
